Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0.384	-1.024	-1.024	-1.024	-1.024	-0.112	-1.024	-1.024	0.296	0.168	-1.024
0.386	-1.024	-1.024	-1.024	-1.024	-0.272	-1.024	-1.024	0.2	0.008	-1.024
0.388	-1.024	-1.024	-1.024	-1.024	-0.288	-1.024	-1.024	0.096	-0.296	-1.024
0.39	-1.024	-1.024	-1.024	-1.024	-0.16	-1.024	-1.024	-0.168	-0.312	-1.024
0.392	-1.024	-1.024	-1.024	-1.024	0.096	-1.024	-1.024	-0.352	-0.232	-1.024
0.394	-1.024	-1.024	-1.024	-1.024	0.264	-1.024	-1.024	-0.368	0.016	-1.024
0.396	-1.024	-1.024	-1.024	-1.024	0.24	-1.024	-1.024	-0.152	0.168	-1.024
0.398	-1.024	-1.024	-1.024	-1.024	0.176	-1.024	-1.024	0.12	0.264	-1.024
0.4	-1.024	-1.024	-1.024	-1.024	-0.024	-1.024	-1.024	0.28	0.272	-1.024
0.402	-1.024	-1.024	-1.024	-1.024	-0.216	-1.024	-1.024	0.272	0.08	-1.024
0.404	-1.024	-1.024	-1.024	-1.024	-0.32	-1.024	-1.024	0.112	-0.112	-1.024
0.406	-1.024	-1.024	-1.024	-1.024	-0.264	-1.024	-1.024	-0.096	-0.248	-1.024
0.408	-1.024	-1.024	-1.024	-1.024	0.008	-1.024	-1.024	-0.296	-0.312	-1.024
0.41	-1.024	-1.024	-1.024	-1.024	0.2	-1.024	-1.024	-0.296	-0.064	-1.024
0.412	-1.024	-1.024	-1.024	-1.024	0.272	-1.024	-1.024	-0.216	0.128	-1.024
0.414	-1.024	-1.024	-1.024	-1.024	0.232	-1.024	-1.024	0.088	0.248	-1.024
0.416	-1.024	-1.024	-1.024	-1.024	0.032	-1.024	-1.024	0.184	0.224	-1.024
0.418	-1.024	-1.024	-1.024	-1.024	-0.168	-1.024	-1.024	0.264	0.088	-1.024
0.42	-1.024	-1.024	-1.024	-1.024	-0.36	-1.024	-1.024	0.2	-0.08	-1.024
0.422	-1.024	-1.024	-1.024	-1.024	-0.296	-1.024	-1.024	0.032	-0.24	-1.024
0.424	-1.024	-1.024	-1.024	-1.024	-0.096	-1.024	-1.024	-0.248	-0.336	-1.024
0.426	-1.024	-1.024	-1.024	-1.024	0.144	-1.024	-1.024	-1.024	-0.208	-1.024
0.428	-1.024	-1.024	-1.024	-1.024	0.248	-1.024	-1.024	-1.024	0.12	-1.024
0.43	-1.024	-1.024	-1.024	-1.024	0.248	-1.024	-1.024	-1.024	0.224	-1.024
0.432	-1.024	-1.024	-1.024	-1.024	0.128	-1.024	-1.024	-1.024	0.224	-1.024
0.434	-1.024	-1.024	-1.024	-1.024	-0.096	-1.024	-1.024	-1.024	0.168	-1.024
0.436	-1.024	-1.024	-1.024	-1.024	-0.272	-1.024	-1.024	-1.024	-0.024	-1.024
0.438	-1.024	-1.024	-1.024	-1.024	-0.328	-1.024	-1.024	-1.024	-0.216	-1.024
0.44	-1.024	-1.024	-1.024	-1.024	-0.136	-1.024	-1.024	-1.024	-0.384	-1.024
0.442	-1.024	-1.024	-1.024	-1.024	0.12	-1.024	-1.024	-1.024	-0.2	-1.024
0.444	-1.024	-1.024	-1.024	-1.024	0.232	-1.024	-1.024	-1.024	-0.008	-1.024
0.446	-1.024	-1.024	-1.024	-1.024	0.224	-1.024	-1.024	-1.024	0.192	-1.024
0.448	-1.024	-1.024	-1.024	-1.024	0.224	-1.024	-1.024	-1.024	0.296	-1.024
0.45	-1.024	-1.024	-1.024	-1.024	-0.04	-1.024	-1.024	-1.024	0.232	-1.024
0.452	-1.024	-1.024	-1.024	-1.024	-0.24	-1.024	-1.024	-1.024	0	-1.024
0.454	-1.024	-1.024	-1.024	-1.024	-0.344	-1.024	-1.024	-1.024	-0.168	-1.024
0.456	-1.024	-1.024	-1.024	-1.024	-0.296	-1.024	-1.024	-1.024	-0.344	-1.024
0.458	-1.024	-1.024	-1.024	-1.024	-0.064	-1.024	-1.024	-1.024	-0.248	-1.024
0.46	-1.024	-1.024	-1.024	-1.024	0.192	-1.024	-1.024	-1.024	-0.056	-1.024
0.462	-1.024	-1.024	-1.024	-1.024	0.328	-1.024	-1.024	-1.024	0.168	-1.024
0.464	-1.024	-1.024	-1.024	-1.024	0.248	-1.024	-1.024	-1.024	0.272	-1.024
