Time	1st	2nd	3rd	4th	5th
0.554	-102.4	-102.4	2.4	-102.4	2.4
0.556	-102.4	-102.4	2.4	-102.4	2.4
0.558	-102.4	-102.4	3.2	-102.4	4
0.56	-102.4	-102.4	2.4	-102.4	2.4
0.562	-102.4	-102.4	2.4	-102.4	2.4
0.564	-102.4	-102.4	2.4	-102.4	2.4
0.566	-102.4	-102.4	2.4	-102.4	2.4
0.568	-102.4	-102.4	2.4	-102.4	2.4
0.57	-102.4	-102.4	1.6	-102.4	3.2
0.572	-102.4	-102.4	1.6	-102.4	3.2
0.574	-102.4	-102.4	1.6	-102.4	3.2
0.576	-102.4	-102.4	1.6	-102.4	3.2
0.578	-102.4	-102.4	1.6	-102.4	2.4
0.58	-102.4	-102.4	2.4	-102.4	2.4
0.582	-102.4	-102.4	1.6	-102.4	2.4
0.584	-102.4	-102.4	1.6	-102.4	3.2
0.586	-102.4	-102.4	2.4	-102.4	2.4
0.588	-102.4	-102.4	2.4	-102.4	2.4
0.59	-102.4	-102.4	2.4	-102.4	3.2
0.592	-102.4	-102.4	1.6	-102.4	3.2
0.594	-102.4	-102.4	1.6	-102.4	1.6
0.596	-102.4	-102.4	2.4	-102.4	3.2
0.598	-102.4	-102.4	2.4	-102.4	1.6
0.6	-102.4	-102.4	1.6	-102.4	2.4
0.602	-102.4	-102.4	2.4	-102.4	2.4
0.604	-102.4	-102.4	0.8	-102.4	2.4
0.606	-102.4	-102.4	2.4	-102.4	2.4
0.608	-102.4	-102.4	2.4	-102.4	2.4
0.61	-102.4	-102.4	3.2	-102.4	2.4
0.612	-102.4	-102.4	2.4	-102.4	2.4
0.614	-102.4	-102.4	2.4	-102.4	2.4
0.616	-102.4	-102.4	2.4	-102.4	2.4
0.618	-102.4	-102.4	1.6	-102.4	3.2
0.62	-102.4	-102.4	2.4	-102.4	2.4
0.622	-102.4	-102.4	2.4	-102.4	1.6
0.624	-102.4	-102.4	1.6	-102.4	3.2
0.626	-102.4	-102.4	2.4	-102.4	2.4
0.628	-102.4	-102.4	2.4	-102.4	2.4
0.63	-102.4	-102.4	2.4	-102.4	3.2
0.632	-102.4	-102.4	2.4	-102.4	3.2
0.634	-102.4	-102.4	2.4	-102.4	2.4
0.636	-102.4	-102.4	2.4	-102.4	2.4
0.638	-102.4	-102.4	2.4	-102.4	2.4
0.64	-102.4	-102.4	2.4	-102.4	2.4
0.642	-102.4	-102.4	3.2	-102.4	1.6
0.644	-102.4	-102.4	2.4	-102.4	2.4
0.646	-102.4	-102.4	2.4	-102.4	2.4
0.648	-102.4	-102.4	1.6	-102.4	3.2
0.65	-102.4	-102.4	2.4	-102.4	2.4
0.652	-102.4	-102.4	1.6	-102.4	3.2
0.654	-102.4	-102.4	2.4	-102.4	2.4
0.656	-102.4	-102.4	2.4	-102.4	2.4
0.658	-102.4	-102.4	2.4	-102.4	3.2
0.66	-102.4	-102.4	2.4	-102.4	2.4
0.662	-102.4	-102.4	2.4	-102.4	3.2
0.664	4.8	-102.4	3.2	-102.4	2.4
0.666	4	-102.4	3.2	-102.4	2.4
